Year,Site,Type,Management,Surveys,Survey Hrs,LT Max Adults,LT Nests,LT Nests Hatched,LT Chicks 0-14,LT Chicks 15-21,LT Fledglings,PP Max Adults,PP Nests,PP Nests Hatched,PP Chicks 0-14,PP Chicks 15-28,PP Fledglings
2015 (O),Leaman,Sandpit,ACEFG,73,101,33,37,20,42,31,26,10,6,5,16,10,7
2015 (O),Lilley - Wood River,Sandpit,H,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2015 (O),Newark East,Sandpit,EFJM,8,2,0,0,0,0,0,0,1,0,0,0,0,0
2015 (O),Newark West,Sandpit,AEFGB,81,117,30,23,15,29,25,25,9,6,4,9,6,6
2015 (O),Non-Access Islands Kearney Broadfoot South,Sandpit,EFB,1,1,0,17,7,17,10,10,0,1,1,1,0,0
2015 (O),NPPD Lexington,Sandpit,EFG,76,92,12,5,4,9,5,5,8,2,2,6,4,3
2015 (O),Plum Creek Complex (Dyer Island),Constructed Island,FG,8,3,3,0,0,0,0,0,2,0,0,0,0,0
2015 (O),PRRIP Cottonwood Ranch Island,Constructed Island,AFG,11,9,4,0,0,0,0,0,3,1,1,4,3,1
2015 (O),Shoemaker Island (Binfield) Complex,Constructed Island,AFGJK,16,24,17,11,3,5,0,0,7,4,0,0,0,0
2015 (O),Speidell-Hostetler,Constructed Island,H,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2015 (O),Trust Wildrose East,Sandpit,I,28,20,24,14,11,24,14,13,5,2,2,7,6,6
2015 (I),Blue Hole,Sandpit,EFG,96,187,34,29,18,39,18,16,20,11,9,32,23,19
2015 (I),Cottonwood Ranch,Sandpit,AEFG,48,66,19,8,8,15,8,6,6,1,1,4,3,1
2015 (I),DeWeese,Sandpit,H,13,5,2,0,0,0,0,0,0,0,0,0,0,0
2015 (I),Dyer,Sandpit,AEFG,74,102,14,6,6,13,6,6,8,4,3,12,0,0
2015 (I),Elm Creek Complex East,Constructed Island,FG,7,4,4,0,0,0,0,0,1,0,0,0,0,0
2015 (I),Elm Creek Complex West,Constructed Island,K,7,2,7,0,0,0,0,0,1,0,0,0,0,0
2015 (I),Follmer,Sandpit,EFGJM,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2015 (I),Hooker Brothers East,Sandpit,HM,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2015 (I),Hooker Brothers Southeast,Sandpit,HM,21,9,8,0,0,0,0,0,2,0,0,0,0,0
2015 (I),Johnson,Sandpit,EFG,38,31,14,7,7,10,2,2,2,1,1,4,0,0
2015 (I),Kearney Broadfoot South,Sandpit,AEFGB,88,151,37,13,10,14,12,11,14,13,5,16,6,5
2015 (I),Leaman,Sandpit,ACEFG,73,101,33,42,24,51,23,22,10,6,5,19,14,9
2015 (I),Lilley - Wood River,Sandpit,H,7,3,0,0,0,0,0,0,0,0,0,0,0,0
2015 (I),Newark East,Sandpit,EFJM,8,2,0,0,0,0,0,0,1,0,0,0,0,0
2015 (I),Newark West,Sandpit,AEFGB,81,117,30,27,18,45,12,9,9,6,4,14,10,6
2015 (I),Non-Access Islands Kearney Broadfoot South,Sandpit,EFB,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2015 (I),NPPD Lexington,Sandpit,EFG,76,92,12,5,4,11,5,5,8,2,2,6,5,1
2015 (I),Plum Creek Complex (Dyer Island),Constructed Island,FG,8,3,3,0,0,0,0,0,2,0,0,0,0,0
2015 (I),PRRIP Cottonwood Ranch Island,Constructed Island,AFG,11,9,4,0,0,0,0,0,3,1,1,4,3,1
2015 (I),Shoemaker Island (Binfield) Complex,Constructed Island,AFGJK,16,24,17,10,3,5,0,0,7,6,0,0,0,0
2015 (I),Speidell-Hostetler,Constructed Island,H,7,1,0,0,0,0,0,0,0,0,0,0,0,0
2015 (I),Trust Wildrose East,Sandpit,I,28,20,24,0,0,0,0,0,5,0,0,0,0,0
2014 (O),Blue Hole,Sandpit,EFGB,110,224,30,26,14,31,24,24,16,6,5,19,11,10
2014 (O),Cottonwood Ranch,Sandpit,AEFG,79,116,18,12,10,20,13,6,8,2,2,6,5,3
2014 (O),DeWeese,Sandpit,H,7,4,0,0,0,0,0,0,0,0,0,0,0,0
2014 (O),Dippel Tract,,,2,2,2,0,0,0,0,0,0,0,0,0,0,0
2014 (O),Dyer,Sandpit,AEFG,66,94,8,0,0,0,0,0,9,6,4,9,4,0
2014 (O),Elm Creek Complex East,Constructed Island,FGJ,13,10,12,0,0,0,0,0,1,0,0,0,0,0
2014 (O),Elm Creek Complex West,Constructed Island,K,4,3,7,0,0,0,0,0,3,0,0,0,0,0
2014 (O),Follmer,Sandpit,J,7,2,0,0,0,0,0,0,0,0,0,0,0,0
2014 (O),Hooker Brothers Southeast,Sandpit,H,16,8,14,7,6,16,14,14,0,0,0,0,0,0
2014 (O),Johnson,Sandpit,EFG,57,45,12,6,0,0,0,0,4,1,1,2,1,1
2014 (O),Kearney Broadfoot South,Sandpit,AEFGB,104,171,40,5,2,4,2,2,12,10,4,12,8,0
2014 (O),Leaman,Sandpit,AEFG,70,99,34,27,15,28,17,16,6,3,3,7,6,6
2014 (O),Leaman West (Islands),River,AFK,9,4,3,0,0,0,0,0,1,0,0,0,0,0
2014 (O),Newark East,Sandpit,EFJM,27,7,3,0,0,0,0,0,0,0,0,0,0,0
2014 (O),Newark West,Sandpit,AEFGB,84,119,25,15,6,13,9,8,5,3,2,6,5,2
2014 (O),Non-Access Islands Kearney Broadfoot South,Sandpit,EFB,1,1,0,2,0,0,0,0,0,0,0,0,0,0
2014 (O),NPPD Lexington,Sandpit,EFG,48,62,2,0,0,0,0,0,10,5,2,8,0,0
2014 (O),NPPD Lexington Island,Constructed Island,G,6,3,0,0,0,0,0,0,1,0,0,0,0,0
2014 (O),"Paulsen's Lexington Pit",Sandpit,HM,16,6,1,0,0,0,0,0,4,0,0,0,0,0
2014 (O),Plum Creek Complex (Dyer Island),Constructed Island,FG,10,3,1,0,0,0,0,0,3,0,0,0,0,0
2014 (O),PRRIP Cottonwood Ranch Island,Constructed Island,AFG,38,24,7,0,0,0,0,0,6,2,0,0,0,0
2014 (O),Rowe Headquarters,,,7,3,4,0,0,0,0,0,4,0,0,0,0,0
2014 (O),Shoemaker Island (Binfield) Complex,Constructed Island,FGJK,15,11,3,0,0,0,0,0,2,0,0,0,0,0
2014 (O),Speidell-Hostetler,Constructed Island,AFGK,7,1,0,0,0,0,0,0,2,0,0,0,0,0
2014 (O),Trust Wildrose East,Sandpit,AGI,37,26,20,7,5,14,13,13,8,3,3,11,11,7
2014 (O),Wild Rose Ranch Islands,Constructed Island,H,12,8,20,0,0,0,0,0,7,0,0,0,0,0
2014 (O),Younkin Tract,,,1,2,4,0,0,0,0,0,0,0,0,0,0,0
2014 (I),Blue Hole,Sandpit,EFGB,110,224,30,42,18,39,11,10,16,8,7,26,15,13
